name,address,url,year,rent,sqft,price_per,pet_rent,pet_deposit,fees,dishwasher,washer_dryer,countertops,floor_level,dog_walking,dog_park,groceries,costco,gym,apt_gym,quiet_ac,ac_filter_can_change,parking,smart_thermostat,electronic_lock,trails,bike_lanes,to_work,toll_road,walk_in_closet,ceiling_fans,guest_parking,speed_bumps,notes
MAA Addison Circle,"5009 Addison Cir, Addison, TX 75001",https://www.apartments.com/maa-addison-circle-addison-tx/39b587f/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAA Hebron,"1701 Hebron Pky E, Carrollton, TX 75010",https://www.apartments.com/maa-hebron-carrollton-tx/444rzdk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springs of Indian Creek,"2057 W Hebron Pkwy, Carrollton, TX 75010",https://www.apartments.com/the-springs-of-indian-creek-carrollton-tx/egl40kp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wimberly,"4141 Horizon North Pky, Dallas, TX 75287",https://www.apartments.com/wimberly-dallas-tx/69q1p9t/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Marin,"1717 E Beltline Rd, Coppell, TX 75019",https://www.apartments.com/st-marin-coppell-tx/3mldpde/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaks at Valley Ranch,"9519 E Valley Ranch Pky, Irving, TX 75063",https://www.apartments.com/oaks-at-valley-ranch-irving-tx/zwylpmx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrollton Park of North Dallas,"18211 Kelly Blvd, Dallas, TX 75287",https://www.apartments.com/carrollton-park-of-north-dallas-dallas-tx/ex85tjm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vue Castle Hills,"5500 State Highway 121, Lewisville, TX 75056",https://www.apartments.com/vue-castle-hills-lewisville-tx/wx7kxvh/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade Addison,"3721 Spring Valley Rd, Addison, TX 75001",https://www.apartments.com/jade-addison-addison-tx/rb6wv72/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bent Tree Trails,"16300 Ledgemenont Ln, Addison, TX 75001",https://www.apartments.com/bent-tree-trails-addison-tx/k8cf7s8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Creek,"18749 Marsh Ln, Dallas, TX 75287",https://www.apartments.com/marsh-creek-dallas-tx/ecr2shm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Westbridge,"2300 Marsh Ln, Carrollton, TX 75006",https://www.apartments.com/windsor-westbridge-carrollton-tx/jmxtw14/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woods at Lakeshore,"3560 Country Square Dr, Carrollton, TX 75006",https://www.apartments.com/woods-at-lakeshore-carrollton-tx/bgc3k19/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakehill Townhomes,"2610 Lakehill Ln, Carrollton, TX 75006",https://www.apartments.com/lakehill-townhomes-carrollton-tx/7nnr49y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington at Valley Ranch,"202 Santa Fe Trl, Irving, TX 75063",https://www.apartments.com/lexington-at-valley-ranch-irving-tx/0sk6mz3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717 Hudspeth Ave,"1717 Hudspeth Ave, Dallas, TX 75216",https://www.apartments.com/1717-hudspeth-ave-dallas-tx/pqzwg0v/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16301 Ledgemont Ln,"16301 Ledgemont Ln, Addison, TX 75001",https://www.apartments.com/16301-ledgemont-ln-addison-tx/66e3ets/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Cove Townhomes,"14802 Enterprise Dr, Farmers Branch, TX 75234",https://www.apartments.com/huntington-cove-townhomes-farmers-branch-tx/lr2mtbd/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biltmore Apartments,"6251 Melody Lane, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-the-biltmore-playground/7442276804.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Trellis at Lake Highlands,"9707 Walnut Hill Lane, Dallas, TX",https://dallas.craigslist.org/dal/apa/d/dallas-valuated-ceilings-bay-windows/7441264627.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington Park Apartments,"2479 Deer Run, Lewisville, TX 75067",https://dallas.craigslist.org/dal/apa/d/lewisville-bedroom-apartment-available/7441790036.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluffs at Vista Ridge,"625 East Vista Ridge Mall, Lewisville, TX, 75067",https://dallas.craigslist.org/ndf/apa/d/lewisville-classic-interior-one-bedroom/7441588141.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,